,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2011-12-06,2515.044,2525.666,2499.574,2516.341,2629758100.0,26310941611.0
2011-12-07,2517.341,2534.529,2509.777,2528.228,2326183900.0,23433730534.0
2011-12-08,2525.041,2549.101,2494.694,2525.001,2777774400.0,27843683566.0
2011-12-09,2506.624,2525.162,2496.972,2503.461,2402905900.0,25477241953.0
2011-12-12,2497.922,2502.046,2476.116,2477.692,2190124900.0,21200444065.0
2011-12-13,2467.016,2472.656,2418.673,2421.928,3571753400.0,33269154181.0
2011-12-14,2415.944,2433.55,2392.299,2397.48,2532010900.0,23753606413.0
2011-12-15,2382.441,2384.473,2340.447,2340.788,3675083400.0,33900401990.999996
2011-12-16,2339.976,2390.378,2332.14,2390.129,3630233900.0,33652058784.999996
2011-12-19,2370.418,2387.89,2321.657,2384.408,3790975200.0,33711370957.000004
2011-12-20,2376.709,2412.572,2373.86,2377.073,3240232700.0,29967658690.0
2011-12-21,2397.275,2404.775,2337.693,2339.108,3120952500.0,30917839680.0
2011-12-22,2325.27,2358.468,2294.607,2341.335,3668385800.0,31845455341.0
2011-12-23,2337.382,2382.709,2331.958,2359.159,3316190400.0,29910296920.0
2011-12-26,2345.555,2369.818,2334.794,2335.702,2822408700.0,25033053118.0
2011-12-27,2332.826,2346.384,2302.411,2305.035,2927731400.0,26777021276.0
2011-12-28,2295.866,2309.645,2267.114,2307.928,3288202000.0,28839274201.0
2011-12-29,2297.288,2323.488,2293.872,2311.361,3088770000.0,26868223305.0
2011-12-30,2318.673,2349.029,2318.673,2345.742,3586524300.0,32362650284.0
2012-01-04,2361.499,2365.988,2298.298,2298.753,3434456700.0,32572551267.0
2012-01-05,2290.78,2316.657,2272.153,2276.385,4301648000.0,37635272074.0
2012-01-06,2274.352,2291.885,2254.567,2290.601,3519899200.0,31079362325.0
2012-01-09,2291.182,2368.889,2271.717,2368.57,5472734100.0,51478126954.0
2012-01-10,2365.768,2449.955,2361.281,2447.349,8115498900.0,75249157103.0
2012-01-11,2444.757,2453.146,2423.322,2435.608,5870567400.0,57587219272.0
2012-01-12,2426.82,2464.378,2423.321,2435.219,4712127500.0,47877407259.0
2012-01-13,2438.405,2445.787,2374.545,2394.334,4551399700.0,47228338588.0
2012-01-16,2376.953,2394.498,2345.633,2345.649,3052714500.0,34410385319.0
2012-01-17,2347.568,2462.429,2329.248,2460.601,6420564800.0,64324131068.0
2012-01-18,2464.92,2485.498,2414.527,2422.189,6389235800.0,67058838880.0
2012-01-19,2423.857,2480.206,2414.985,2468.35,5561572600.0,56377653304.0
2012-01-20,2476.73,2510.34,2462.594,2504.086,5452978300.0,57474475709.0
2012-01-30,2508.877,2508.877,2460.396,2460.72,4351714800.0,44770885276.0
2012-01-31,2462.338,2472.839,2447.768,2464.26,3070150100.0,32694132107.0
2012-02-01,2458.233,2481.664,2423.45,2428.994,3501537400.0,37752320797.0
2012-02-02,2437.47,2486.238,2429.709,2486.238,4206698500.0,44126383715.0
2012-02-03,2478.336,2514.645,2470.28,2506.09,4994924000.0,51507545973.0
2012-02-06,2511.172,2520.758,2488.709,2504.322,4507990500.0,47541523547.0
2012-02-07,2489.032,2489.032,2441.698,2457.954,3967916400.0,40034277145.0
2012-02-08,2456.422,2534.162,2450.999,2528.236,5618645600.0,61721305024.0
2012-02-09,2525.589,2546.025,2513.131,2529.231,5929975100.0,63456204565.0
2012-02-10,2521.676,2560.027,2521.155,2533.624,6157587700.0,60029482361.0
2012-02-13,2504.41,2553.446,2496.305,2531.981,5191397300.0,54282622440.0
2012-02-14,2528.967,2533.264,2506.537,2522.107,4043010100.0,43723682304.0
2012-02-15,2515.829,2562.071,2511.289,2549.607,5809037000.0,60422394145.0
2012-02-16,2544.641,2559.345,2519.043,2536.074,5439543100.0,55165633314.0
2012-02-17,2551.815,2558.345,2522.856,2537.086,3899471600.0,40458003413.0
2012-02-20,2571.907,2574.746,2539.904,2540.706,5615332900.0,56748912893.0
2012-02-21,2544.835,2562.909,2520.786,2562.453,4789480800.0,47758225547.0
2012-02-22,2564.315,2598.863,2560.343,2597.476,7637665600.0,76421806874.0
2012-02-23,2595.779,2614.537,2590.518,2606.256,7037712600.0,72612089253.0
2012-02-24,2607.339,2648.017,2602.776,2648.017,8599970800.0,88058616716.0
2012-02-27,2658.121,2693.843,2656.573,2656.573,10151403400.0,106670207615.0
2012-02-28,2652.342,2671.833,2641.459,2662.463,7759253600.0,77213053038.0
2012-02-29,2655.858,2666.647,2631.784,2634.143,5912020600.0,64875221164.0
2012-03-01,2622.737,2647.785,2621.858,2633.345,4214844100.0,46524079738.0
2012-03-02,2637.961,2679.934,2637.961,2679.934,6412203400.0,66981591368.0
2012-03-05,2687.74,2694.612,2660.955,2662.698,7139545800.0,74973261138.0
2012-03-06,2654.799,2657.963,2615.6,2621.052,6244714800.0,68852557821.0
2012-03-07,2596.479,2628.585,2594.128,2603.005,5694873300.0,63243293004.0
2012-03-08,2612.403,2645.953,2612.403,2635.791,5754941300.0,64458851045.0
2012-03-09,2644.1,2664.414,2631.406,2664.302,5525892100.0,65963441747.0
2012-03-12,2663.243,2666.432,2636.423,2654.402,6232721600.0,74367701978.0
2012-03-13,2653.681,2681.334,2649.169,2681.073,5840446900.0,66429764308.0
2012-03-14,2694.475,2705.754,2595.342,2605.106,10842654000.0,117080408732.0
2012-03-15,2602.661,2618.252,2575.437,2585.546,7256596000.0,77042766482.0
2012-03-16,2591.8,2624.316,2577.245,2623.52,5809125900.0,67451822278.0
2012-03-19,2617.662,2631.045,2598.63,2630.013,5764662500.0,68803937996.0
2012-03-20,2622.66,2622.66,2584.024,2584.445,5811406500.0,64263817216.0
2012-03-21,2597.375,2613.269,2569.075,2587.793,5800254400.0,66674920148.0
2012-03-22,2586.938,2599.244,2570.446,2583.747,4492677700.0,50115505934.0
2012-03-23,2575.327,2578.825,2544.525,2552.94,4332925600.0,47812442986.0
2012-03-26,2551.425,2562.929,2540.696,2555.442,3181621100.0,36356133943.0
2012-03-27,2565.551,2571.899,2544.373,2547.143,3594460400.0,47394454857.0
2012-03-28,2538.458,2540.417,2471.034,2474.9,5000579000.0,54993640999.0
2012-03-29,2463.688,2476.478,2429.732,2443.122,4613130400.0,48651595893.0
2012-03-30,2447.939,2461.977,2438.488,2454.899,3702708600.0,39139734882.0
2012-04-05,2449.208,2517.386,2441.269,2512.832,5433168700.0,58049690964.0
2012-04-06,2509.445,2525.534,2502.703,2519.83,4236857600.0,47207795088.0
2012-04-09,2510.533,2518.378,2491.592,2495.146,3537098600.0,38180751755.0
2012-04-10,2490.283,2519.812,2459.348,2519.788,4133590500.0,44064833898.0
2012-04-11,2494.517,2541.126,2489.325,2520.036,4251031000.0,43627983913.0
2012-04-12,2522.828,2570.842,2516.568,2570.436,5648840900.0,59536950778.0
2012-04-13,2575.052,2593.788,2570.035,2580.454,5309264300.0,61892977442.0
2012-04-16,2564.231,2586.198,2559.781,2574.044,4083970000.0,42650756402.0
2012-04-17,2572.364,2578.76,2541.535,2541.883,3781546700.0,38328417080.0
2012-04-18,2550.905,2602.106,2545.996,2599.908,5868840800.0,59361005883.0
2012-04-19,2598.329,2606.86,2585.301,2596.056,4644810900.0,55512931549.0
2012-04-20,2591.51,2627.375,2589.351,2626.839,6144637900.0,63829908072.0
2012-04-23,2624.751,2632.092,2599.112,2606.038,5866493800.0,62073949557.0
2012-04-24,2594.801,2640.295,2559.464,2604.866,7113955800.0,73150514001.0
2012-04-25,2598.228,2631.438,2593.327,2625.99,6246805300.0,63529458933.0
2012-04-26,2632.718,2643.768,2617.089,2631.487,5896566700.0,64377486667.0
2012-04-27,2630.549,2637.918,2623.598,2626.157,4823358600.0,53345515969.0
2012-05-02,2660.673,2697.949,2643.527,2683.487,8014865400.0,92366091966.0
2012-05-03,2679.517,2693.88,2675.811,2691.518,5936109000.0,72337336415.0
2012-05-04,2689.624,2716.033,2677.14,2715.879,6321808600.0,73699551125.0
2012-05-07,2699.447,2717.778,2694.321,2717.778,6854731400.0,82715668565.0
2012-05-08,2717.408,2717.825,2683.562,2709.116,6311084000.0,73744497984.0
2012-05-09,2685.187,2685.187,2655.322,2657.514,5840028300.0,69482578578.0
2012-05-10,2657.87,2667.675,2649.38,2657.214,4696257600.0,54056953614.0
2012-05-11,2652.313,2666.566,2636.523,2636.917,4100614300.0,49392898299.0
2012-05-14,2653.806,2656.284,2613.349,2615.534,5208248400.0,60331294491.0
2012-05-15,2597.644,2618.175,2591.598,2617.374,4576727100.0,51374761939.0
2012-05-16,2610.161,2612.625,2574.082,2574.647,4328027400.0,47863536278.0
2012-05-17,2577.961,2619.589,2571.201,2613.942,4372838900.0,49203910040.0
2012-05-18,2595.547,2603.191,2567.302,2573.976,4342212400.0,46907511775.0
2012-05-21,2572.369,2604.219,2563.973,2587.231,3860209000.0,44300405781.0
2012-05-22,2598.167,2627.602,2597.603,2627.525,4277352900.0,49392413014.0
2012-05-23,2621.786,2635.78,2598.29,2616.869,4371953100.0,52563403310.0
2012-05-24,2613.095,2630.414,2588.209,2595.26,4284406600.0,50064439874.0
2012-05-25,2595.261,2602.17,2565.647,2573.103,3927300400.0,41420081778.0
2012-05-28,2562.596,2614.849,2545.336,2614.689,5633927500.0,58412343035.0
2012-05-29,2615.145,2658.255,2612.564,2650.854,7213563700.0,78681504585.0
2012-05-30,2646.37,2655.163,2636.518,2642.258,5185543600.0,56976275428.0
2012-05-31,2623.158,2645.591,2617.228,2632.042,4410746900.0,49875041384.0
2012-06-01,2633.601,2653.857,2623.289,2632.998,4419105600.0,53843404285.0
2012-06-04,2598.733,2608.316,2558.92,2559.026,5247850200.0,60615569451.0
2012-06-05,2565.186,2573.887,2548.76,2558.842,3777991000.0,43553303591.0
2012-06-06,2564.226,2573.739,2547.334,2557.401,3385769400.0,41316908581.0
2012-06-07,2579.425,2584.039,2536.258,2542.184,3484118600.0,42053000073.0
2012-06-08,2558.843,2559.128,2520.409,2524.329,4385642600.0,47638005888.0
2012-06-11,2529.599,2565.429,2523.774,2558.265,4009826000.0,43449657466.0
2012-06-12,2543.765,2553.915,2529.951,2540.178,3793667600.0,40259911520.0
2012-06-13,2546.791,2581.115,2539.632,2580.636,4501456800.0,51291269477.0
2012-06-14,2573.329,2584.709,2558.565,2560.421,4024793400.0,46331822555.0
2012-06-15,2565.189,2580.17,2538.572,2568.054,4278607800.0,48868302897.0
2012-06-18,2576.629,2593.218,2572.987,2581.212,3569362800.0,40852450181.0
2012-06-19,2577.362,2577.362,2556.103,2558.621,3270055300.0,37020041266.0
2012-06-20,2563.643,2570.663,2549.438,2552.611,2985063900.0,33573669769.0
2012-06-21,2547.048,2547.048,2502.419,2512.185,3539673200.0,38607959039.0
2012-06-25,2501.163,2501.163,2455.008,2456.518,4010673500.0,42503507171.0
2012-06-26,2442.562,2465.12,2434.64,2454.915,3173400800.0,33896511717.0
2012-06-27,2452.666,2470.762,2444.343,2447.195,3000755300.0,31437597414.0
2012-06-28,2451.664,2459.189,2425.24,2425.729,3054311300.0,34418793210.0
2012-06-29,2418.862,2462.815,2417.486,2461.612,3799494100.0,40976538386.0
2012-07-02,2473.545,2473.966,2452.986,2465.238,4051007800.0,45651476527.0
2012-07-03,2464.85,2490.547,2457.449,2468.721,3869335400.0,45004653879.0
2012-07-04,2474.527,2481.336,2455.995,2464.919,3445214200.0,37837659888.0
2012-07-05,2450.3,2450.3,2420.001,2430.37,3472614500.0,35946204421.0
2012-07-06,2435.059,2477.231,2420.356,2472.614,4961060500.0,56601778899.0
2012-07-09,2455.892,2470.205,2414.953,2416.036,4922330200.0,54601732513.0
2012-07-10,2411.003,2426.529,2402.371,2406.706,3554998400.0,38539025245.0
2012-07-11,2402.184,2427.795,2402.154,2425.572,3762431200.0,39851892244.0
2012-07-12,2420.036,2460.559,2404.584,2449.181,5671769100.0,65137536868.0
2012-07-13,2441.013,2467.99,2438.979,2450.633,3672525600.0,42013581196.0
2012-07-16,2452.595,2452.595,2399.61,2399.731,4277187000.0,45844882072.0
2012-07-17,2391.897,2421.929,2391.281,2414.201,3342432900.0,38285441648.0
2012-07-18,2412.062,2420.778,2373.647,2414.335,4175178800.0,44325492550.0
2012-07-19,2407.443,2444.057,2401.291,2424.322,4694905200.0,47704038961.0
2012-07-20,2415.71,2423.804,2392.181,2398.455,3761975400.0,36683623955.0
2012-07-23,2379.885,2379.885,2357.507,2365.431,3239036900.0,33178928582.0
2012-07-24,2353.22,2392.353,2352.803,2375.992,3031007900.0,31149105846.0
2012-07-25,2368.384,2381.043,2357.468,2360.083,2489650100.0,25730598144.0
2012-07-26,2360.134,2374.874,2344.695,2347.488,3131409400.0,31326395007.0
2012-07-27,2353.942,2364.984,2341.293,2349.108,3109052500.0,33048182067.0
2012-07-30,2350.782,2367.029,2333.999,2335.793,3048485100.0,29907972257.0
2012-07-31,2336.882,2350.071,2329.505,2332.922,3209972300.0,31196332451.0
2012-08-01,2332.129,2371.122,2331.949,2358.651,3142084800.0,31277764382.0
2012-08-02,2354.073,2358.559,2325.608,2334.882,3151615900.0,29751166648.0
2012-08-03,2340.25,2354.156,2329.934,2353.737,2976978500.0,31106947335.0
2012-08-06,2350.117,2388.363,2348.119,2385.611,4182066500.0,43686686303.0
2012-08-07,2383.257,2390.782,2379.452,2388.873,3828548900.0,40403711505.0
